Month,Total Weight (kg),Total Quantity
Month 05 of 2024,4553672.800000001,8474843
Month 04 of 2024,4769776.8,8594231
Month 03 of 2024,4222847.2,8206437
Month 02 of 2024,3932365.5999999996,7304333
Month 01 of 2024,4363012.000000001,7993177
Month 12 of 2023,4220863.2,8200418
Month 11 of 2023,5081308.000000002,9755746
Month 10 of 2023,4487770.399999999,8720987
Month 09 of 2023,5608456.0,10677646
Month 08 of 2023,6256954.3999999985,11415885
Month 07 of 2023,4815942.400000001,8817866
Month 06 of 2023,4933834.4,8809299
Month 05 of 2023,5673795.999999999,9703507
Month 04 of 2023,4294247.2,8134614
Month 03 of 2023,3506537.5999999996,7175011
Month 02 of 2023,2939686.4000000004,6063741
Month 01 of 2023,5043783.200000001,9291495
Month 12 of 2022,5244359.199999999,9222608
Month 11 of 2022,5762787.999999999,9796794
Month 10 of 2022,6288505.599999999,10918256
Month 09 of 2022,6094351.199999999,10146831
Month 08 of 2022,6620181.6000000015,10181793
Month 07 of 2022,6488421.6,10474832
Month 06 of 2022,8682400.800000003,13811979
Month 05 of 2022,8108440.0,13714486
Month 04 of 2022,7197258.399999999,11591110
Month 03 of 2022,7192212.800000002,11463821
Month 02 of 2022,5607481.6,8759654
Month 01 of 2022,6531596.799999999,11289542
Month 12 of 2021,6894808.800000001,11703049
Month 11 of 2021,3652962.4000000004,6084453
Month 10 of 2021,4227858.399999999,7004140
Month 09 of 2021,4928439.199999999,7585582
Month 08 of 2021,5931101.600000001,9115421
Month 07 of 2021,4203155.2,7002126
Month 06 of 2021,5297643.2,8295143
Month 05 of 2021,7280208.8,11123974
Month 04 of 2021,5404262.4,7509738
Month 03 of 2021,5145496.000000001,7389080
Month 02 of 2021,3896957.6,5301956
Month 01 of 2021,4675132.799999999,6388672
Month 12 of 2020,4964612.800000001,6877658
Month 11 of 2020,4635209.599999999,6804420
Month 10 of 2020,4917618.400000002,7389117
Month 09 of 2020,5156299.2,8025368
Month 08 of 2020,6013807.999999999,8967703
Month 07 of 2020,5432364.0,8289306
Month 06 of 2020,5578084.000000001,8718891
Month 05 of 2020,3989952.8,5954967
Month 04 of 2020,3606183.1999999997,5357989
Month 03 of 2020,1085312.7999999998,1604667
Month 02 of 2020,1745048.0,2994521
Month 01 of 2020,2869556.8000000003,4534849
Month 12 of 2019,2530076.8000000003,3907846
Month 11 of 2019,3885827.1999999997,5937194
Month 10 of 2019,3777259.1999999997,6098790
Month 09 of 2019,4298788.8,6500870
Month 08 of 2019,4879155.2,7331005
Month 07 of 2019,3890923.1999999997,5953560
Month 06 of 2019,3774557.6000000006,5357623
Month 05 of 2019,3900114.4000000004,5525699
Month 04 of 2019,3100064.8000000007,4161024
Month 03 of 2019,1751283.1999999997,2485676
Month 02 of 2019,2335596.8,3321084
Month 01 of 2019,2814861.6000000006,3738454
Month 12 of 2018,3116621.6,4723506
Month 11 of 2018,4131326.4000000004,6173449
Month 10 of 2018,3241739.2,4973608
Month 09 of 2018,3422340.0,5894775
Month 08 of 2018,4103551.2,6942621
Month 07 of 2018,3117296.8000000003,4886858
Month 06 of 2018,2299788.8,3786381
Month 05 of 2018,2720348.8,4180932
Month 04 of 2018,2170246.4,3563930
Month 03 of 2018,994299.9999999999,1721827
Month 02 of 2018,1672560.8,2727464
Month 01 of 2018,1983424.8,3353482
Month 12 of 2017,1555723.9999999998,2739235
Month 11 of 2017,3117732.8000000003,5044565
Month 10 of 2017,2610881.6,3982106
Month 09 of 2017,3056612.7999999993,4586637
Month 08 of 2017,3936578.4000000004,6170814
Month 07 of 2017,3382268.8,5242228
Month 06 of 2017,2848310.3999999994,4607513
Month 05 of 2017,4151138.4,6718028
Month 04 of 2017,2462996.8,3926294
Month 03 of 2017,2422104.0000000005,3746077
Month 02 of 2017,2295175.2000000007,3951140
Month 01 of 2017,2536570.4,4543431
Month 12 of 2016,2242540.0000000005,4042793
Month 11 of 2016,3542131.9999999995,6273480
Month 10 of 2016,2991376.8,5313048
Month 09 of 2016,4083564.0000000005,7101222
Month 08 of 2016,3729643.1999999997,6298194
Month 07 of 2016,2770555.9999999995,4773707
Month 06 of 2016,3664728.8000000003,5994258
Month 05 of 2016,2965577.6000000006,4986447
Month 04 of 2016,2167140.000000001,3669614
Month 03 of 2016,1234931.2,2159222
Month 02 of 2016,2218988.8,3733385
Month 01 of 2016,1916986.4,3182098
Month 12 of 2015,2411187.1999999997,3837217
Month 11 of 2015,3148422.400000001,5316347
Month 10 of 2015,3273174.4000000004,5690409
Month 09 of 2015,4005513.6000000006,6600769
Month 08 of 2015,4155984.0,6641453
Month 07 of 2015,3749307.9999999995,5715208
Month 06 of 2015,3664099.9999999995,6023628
Month 05 of 2015,2725136.0,4513510
Month 04 of 2015,1621184.8,2916918
Month 03 of 2015,1146201.5999999999,1956260
Month 02 of 2015,953558.4,1735155
Month 01 of 2015,705069.6,1139755
