AverageWeightPerMonth_g,AverageDemandPerMonth_unit,UnitPrice,MarkerSize
731989055.666667,1632082.4246,24.53,135.48771
783062885.333333,417137.1579,39.58,510.05277
497750148,1420328.193,24.93,134.13573
471613378,823859.0097,25.38,159.79671
411367316.666667,629639.8392,26.66,185.63751
285918589.666667,836884.5489,24.74,135.57096
419987682,640033.6853,25.57,162.70047
419776945,360232.0314,30.1,270.85221
438292655.666667,391906.063663366,29.38,251.89119
306444897.666667,235940.599292929,32.94,345.12453
250129182.333333,569751.398910891,24.92,140.47272
252911462.666667,471360.2469,25.26,150.41943
281350645,335539.346435644,27.13,197.48565
235677733.333333,385881.2777,26.14,171.21195
237191881,267628.1191,28.68,230.17293
273184080.666667,323340.3597,26.43,179.56026
253590550,188176.574747475,30.35,275.09463
188547538.666667,201380.92019802,29.69,257.4423
231443675,169850.992673267,31.13,297.59211
172037338.333333,126108.3284,31.98,318.80421
174044670,114067.8651,31.87,306.70299
130798547.333333,155960.9868,28.19,224.26884
121902797,232971.012424242,25.18,147.21597
118844465.666667,168663.1814,27.38,203.27652
134706566,235873.1674,24.63,139.49037
174960269,162911.8319,27.17,197.37909
153900788,108017.6232,30.31,269.5968
152598242.333333,224744.7068,24.4,127.39914
128845094.666667,104609.7918,32.24,269.98974
126556455,176486.710909091,25.12,153.82602
92079893.3333333,135187.3995,27,192.12768
92978112.6666667,49510.9752,39.81,514.62153
221373508.666667,169767.3194,24.91,147.59892
118950876,121387.193535354,27.19,196.89291
207149111,197383.5467,24.55,121.17537
155851049.333333,90165.8009,29.52,257.58549
150913101.333333,86485.556,29.06,257.51556
181735416.666667,70324.8106060606,31,294.61176
114009102.666667,72267.4336633663,30.85,282.30741
155688006.333333,103306.2213,26.99,191.95452
53304124.3333333,137643.1492,25.35,141.72813
125691247.333333,36609.7712,39.28,499.28688
110025654.333333,34157.1465,37.94,469.86966
58318121.3333333,103279.5005,25.32,150.82236
101983107.333333,96687.2752,26.37,148.91427
69855037.6666667,33166.1851,34.98,392.98329
56318356,48113.2306930693,29.92,267.59214
57338621,62131.887,26.8,188.1783
73265424,68452.7715151515,25.43,158.98752
68845740,41900.3292,29.58,258.35139
51877530.3333333,55432.496,27.05,189.76338
31186643,64855.3495,24.68,133.42977
35149020.3333333,43404.9396,26.23,175.02813
40211104.3333333,31040.72,28.14,222.01776
2116898.33333333,760.1538,40.53,533.34945
