Capacity_3DP_Percentage,Varying_Curve_1,Baseline,Varying_Curve_2,Varying_Curve_3
0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.018372,0.010666,0.014968,0.010554
1.000000,1.398049,1.225143,0.954311,0.672869
3.000000,3.203145,2.732693,1.814655,1.052179
5.000000,4.063448,3.372800,2.086798,0.955711
7.000000,4.508841,3.552048,2.018435,0.682031
9.000000,4.807247,3.512556,1.749689,0.366226
11.000000,4.887872,3.447434,1.446699,0.021799
13.000000,5.003788,3.212615,1.142751,-0.285662
15.000000,5.000543,2.993615,0.842025,-0.592023
17.000000,5.155226,2.767722,0.587007,-0.969777
19.000000,5.066782,2.524380,0.263666,-1.393583
21.000000,4.994439,2.358132,-0.015319,-1.693217
23.000000,4.868444,2.115935,-0.250323,-2.006006
25.000000,4.580785,2.079100,-0.578151,-2.370570
30.000000,3.948288,1.368127,-1.370846,-3.180010
35.000000,3.176161,0.595460,-2.111395,-3.994942
40.000000,2.407159,-0.171583,-2.881884,-4.725887
45.000000,1.641572,-0.943546,-3.650066,-5.485787
50.000000,0.867365,-1.410420,-4.412051,-6.252459
75.000000,-2.417949,-5.215166,-8.128986,-10.110695
100.000000,-6.272853,-9.072333,-11.980394,-13.945317
