Company,Weight Scenario 1 (grams),Weight Scenario 2 (grams),Quantity Scenario 1,Quantity Scenario 2,Scenario 1 Probability,Scenario 2 Probability
1,772501630.0,397264800.0,1898644.85,976392.46,0.71,0.29
2,1120825120.0,447659411.0,731757.16,292265.02,0.28,0.72
3,453394545.0,717234222.0,1125579.17,1780577.0,0.55,0.45
4,281912215.0,541325000.0,587476.22,1128065.94,0.56,0.44
5,287568125.0,581577156.0,515845.02,1043243.86,0.78,0.22
6,421723685.0,204071880.0,1035870.71,501257.32,0.62,0.38
7,591993146.0,173929819.0,1211635.82,355983.17,0.34,0.66
8,221630667.0,535509673.0,272484.44,658383.85,0.77,0.23
9,229836000.0,715578514.0,303843.05,945994.36,0.87,0.13
10,542395648.0,150729225.0,523340.81,145433.97,0.24,0.76
11,315165350.0,160167467.0,747120.59,379687.72,0.52,0.48
12,371091467.0,76555371.0,821525.91,169479.03,0.46,0.54
13,443471550.0,116205650.0,747781.05,195945.79,0.25,0.75
14,109687500.0,275746444.0,213337.55,536315.17,0.47,0.53
15,298715400.0,134743036.0,432163.02,194937.92,0.31,0.69
16,344412320.0,84584522.0,638723.19,156864.59,0.35,0.65
17,83295764.0,326964031.0,100828.9,395787.52,0.7,0.3
18,84551383.0,273350819.0,109366.68,353577.57,0.62,0.38
19,358476933.0,88320900.0,401128.98,98829.43,0.23,0.77
20,74145786.0,232526000.0,77447.37,242879.97,0.7,0.3
21,197495200.0,71732277.0,214428.63,77882.67,0.26,0.74
22,170710686.0,71572714.0,253475.51,106272.96,0.33,0.67
23,60573262.0,172814450.0,137015.68,390903.32,0.62,0.38
24,152357312.0,53560192.0,249586.06,87740.3,0.5,0.5
25,45430615.0,159721043.0,108454.76,381295.91,0.53,0.47
26,42816085.0,212874545.0,72235.39,359142.52,0.68,0.32
27,53905267.0,285738800.0,66582.59,352938.24,0.86,0.14
28,256103600.0,29330800.0,669411.89,76665.8,0.25,0.75
29,171220213.0,56319013.0,211179.62,69462.76,0.24,0.76
30,166291018.0,41086400.0,359984.02,88943.15,0.33,0.67
31,46352035.0,143069236.0,80338.39,247970.81,0.68,0.32
32,124860073.0,32600600.0,80794.14,21095.11,0.48,0.52
33,62223350.0,504009600.0,140382.98,1137103.15,0.97,0.03
34,244222400.0,56731015.0,413047.17,95947.73,0.08,0.92
35,48903756.0,407290560.0,134391.59,1119268.35,0.94,0.06
36,162263368.0,37321511.0,209769.97,48248.3,0.26,0.74
37,31735293.0,165848571.0,41037.72,214463.06,0.74,0.26
38,48232013.0,225142800.0,54516.7,254479.16,0.91,0.09
39,25856095.0,124431130.0,30498.95,146774.63,0.65,0.35
40,32429733.0,158785900.0,56258.64,275459.54,0.79,0.21
41,71750800.0,24820200.0,168583.44,58316.77,0.71,0.29
42,164157333.0,20386147.0,109484.94,13596.57,0.24,0.76
43,42719778.0,230487600.0,30275.81,163348.22,0.97,0.03
44,83783368.0,28237470.0,184984.92,62345.38,0.34,0.66
45,21109097.0,115966400.0,47203.87,259322.44,0.76,0.24
46,86912200.0,19397813.0,73646.29,16437.01,0.29,0.71
47,70411022.0,13477009.0,87621.67,16771.21,0.44,0.56
48,75636200.0,19431505.0,133845.69,34385.96,0.28,0.72
49,63390880.0,15700615.0,132772.45,32885.0,0.37,0.63
50,19717652.0,99922133.0,25414.91,128793.85,0.84,0.16
51,22965365.0,80454667.0,40300.01,141183.22,0.85,0.15
52,49523556.0,16575491.0,123595.69,41367.37,0.29,0.71
53,13423253.0,50259467.0,25538.43,95621.22,0.75,0.25
54,16148451.0,81105867.0,24220.74,121649.07,0.93,0.07
55,2405200.0,549425.0,1501.7,343.04,0.36,0.64
