Company,Weight Scenario 1 (grams),Weight Scenario 2 (grams),Weight Scenario 3 (grams),Quantity Scenario 1,Quantity Scenario 2,Quantity Scenario 3,Scenario 1 Probability,Scenario 2 Probability,Scenario 3 Probability
1,397264800.0,736258900.0,1062443467.0,976392.46,1809567.92,2611260.27,0.29,0.63,0.08
2,342812768.0,1286802667.0,719573221.0,223813.41,840119.52,469790.38,0.47,0.17,0.36
3,490758222.0,717234222.0,285258000.0,1218336.74,1780577.0,708170.1,0.45,0.45,0.1
4,238534444.0,443392730.0,732912960.0,497081.38,923985.1,1527315.65,0.39,0.5,0.11
5,373352904.0,667560000.0,193189046.0,669727.35,1197481.48,346546.08,0.56,0.12,0.32
6,299308622.0,469021680.0,89425467.0,735185.26,1152047.75,219653.83,0.51,0.38,0.11
7,387668175.0,140540976.0,731753895.0,793442.71,287646.03,1497684.96,0.29,0.54,0.17
8,360943826.0,159580076.0,738806933.0,443763.39,196196.17,908328.23,0.49,0.45,0.06
9,127771282.0,818990311.0,368116374.0,168913.56,1082704.69,486649.62,0.47,0.09,0.45
10,579757840.0,267259580.0,72317273.0,559390.43,257870.52,69776.7,0.19,0.38,0.42
11,128675621.0,249434097.0,372277829.0,305034.19,591300.25,882509.55,0.31,0.47,0.23
12,48943055.0,467207600.0,242583733.0,108350.61,1034308.74,537034.23,0.42,0.23,0.35
13,79340891.0,514780560.0,249930484.0,133784.49,868022.19,421432.4,0.55,0.16,0.3
14,228087867.0,87134133.0,391811200.0,443621.25,169472.2,762056.21,0.53,0.35,0.12
15,233496114.0,360488900.0,117590629.0,337807.78,521533.11,170122.87,0.33,0.12,0.55
16,255279531.0,57081778.0,507190933.0,473423.71,105859.9,940601.12,0.41,0.51,0.08
17,227062987.0,472719700.0,60988963.0,274858.05,572223.68,73826.68,0.34,0.09,0.56
18,325243200.0,62800416.0,177599000.0,420700.04,81231.94,229723.19,0.2,0.45,0.36
19,216962000.0,60646168.0,416722857.0,242776.42,67861.93,466305.08,0.27,0.6,0.14
20,48368063.0,314197867.0,153546085.0,50521.81,328188.54,160383.22,0.48,0.11,0.41
21,56029686.0,150268724.0,315835600.0,60833.72,163152.91,342915.65,0.55,0.41,0.04
22,120228960.0,52381082.0,219785600.0,178518.98,77776.74,326343.17,0.48,0.4,0.12
23,45498905.0,118714286.0,201495200.0,102917.74,268529.68,455778.69,0.45,0.33,0.21
24,116577018.0,42363579.0,197592800.0,190972.12,69398.43,323689.14,0.44,0.38,0.18
25,41591333.0,129339832.0,233188533.0,99289.39,308768.01,556682.02,0.49,0.39,0.12
26,30303260.0,158451467.0,336126080.0,51124.9,267324.86,567081.27,0.58,0.35,0.07
27,306924640.0,33683644.0,121094080.0,379106.52,41605.29,149572.73,0.12,0.64,0.24
28,20135927.0,279571200.0,158087600.0,52631.94,730752.26,413214.49,0.69,0.19,0.12
29,108312267.0,43841417.0,234381600.0,133590.21,54073.14,289081.62,0.34,0.56,0.1
30,227871657.0,30060108.0,121737600.0,493292.76,65073.62,263535.52,0.1,0.55,0.34
31,31722500.0,156436700.0,88080480.0,54982.15,271139.59,152663.06,0.47,0.24,0.29
32,167247200.0,21192178.0,90494960.0,108221.9,13712.98,58557.25,0.17,0.39,0.44
33,39296348.0,504009600.0,120814578.0,88657.04,1137103.15,272571.47,0.7,0.03,0.27
34,83348703.0,29281525.0,244222400.0,140965.55,49523.1,413047.17,0.46,0.45,0.08
35,33892800.0,445074000.0,142480533.0,93140.24,1223100.39,391548.36,0.79,0.05,0.16
36,32110367.0,123257181.0,312185600.0,41511.47,159343.76,403585.64,0.67,0.29,0.04
37,26675258.0,132080313.0,293983733.0,34494.46,170796.45,380157.93,0.68,0.28,0.04
38,106149655.0,22949395.0,416107200.0,119981.07,25939.73,470326.43,0.42,0.56,0.01
39,25856095.0,112553080.0,203618133.0,30498.95,132763.7,240180.87,0.65,0.31,0.05
40,139275486.0,32429733.0,295358800.0,241613.15,56258.64,512384.29,0.18,0.79,0.03
41,19203733.0,85074240.0,55634400.0,45120.49,199887.78,130716.85,0.21,0.36,0.43
42,17217022.0,245636400.0,114220320.0,11482.91,163827.5,76179.38,0.72,0.08,0.2
43,25591067.0,73998296.0,230487600.0,18136.57,52443.12,163348.22,0.63,0.34,0.03
44,56380857.0,23580907.0,94992600.0,124483.04,52064.18,209733.73,0.25,0.54,0.21
45,18919467.0,90671855.0,196358000.0,42307.45,202759.13,439093.0,0.72,0.24,0.04
46,19397813.0,119598000.0,70569300.0,16437.01,101343.07,59797.9,0.71,0.1,0.19
47,52010462.0,12472873.0,104471733.0,64723.44,15521.63,130007.88,0.32,0.54,0.15
48,9992171.0,49928492.0,112095200.0,17682.13,88353.38,198363.48,0.48,0.45,0.07
49,15700615.0,146652000.0,57443657.0,32885.0,307163.2,120315.97,0.63,0.02,0.34
50,16504686.0,130515467.0,59517067.0,21273.59,168226.89,76714.06,0.76,0.08,0.16
51,46129760.0,92946400.0,16556431.0,80949.29,163103.92,29053.51,0.25,0.1,0.65
52,26981662.0,56554667.0,10023600.0,67338.0,141143.2,25015.85,0.42,0.19,0.39
53,9952731.0,64482286.0,31012044.0,18935.58,122680.86,59002.0,0.58,0.12,0.3
54,8917908.0,81105867.0,30609538.0,13375.79,121649.07,45910.63,0.62,0.07,0.31
55,1872680.0,416148.0,4061867.0,1169.22,259.82,2536.05,0.4,0.54,0.06
