Company,Weight Scenario 1 (grams),Weight Scenario 2 (grams),Weight Scenario 3 (grams),Weight Scenario 4 (grams),Weight Scenario 5 (grams),Quantity Scenario 1,Quantity Scenario 2,Quantity Scenario 3,Quantity Scenario 4,Quantity Scenario 5,Scenario 1 Probability,Scenario 2 Probability,Scenario 3 Probability,Scenario 4 Probability,Scenario 5 Probability
1,814529440.0,480377829.0,680351371.0,251817000.0,1062443467.0,2001940.28,1180666.62,1672159.1,618912.68,2611260.27,0.26,0.18,0.37,0.1,0.08
2,897907886.0,388397689.0,631740373.0,1315877700.0,108758720.0,586220.38,253574.61,412446.63,859101.84,71005.7,0.13,0.34,0.28,0.15,0.09
3,520705067.0,411684000.0,690150000.0,216373600.0,933908000.0,1292681.58,1022030.24,1713338.8,537160.45,2318482.66,0.3,0.2,0.4,0.05,0.05
4,732912960.0,102777600.0,505703022.0,265685813.0,403336114.0,1527315.65,214178.01,1053833.38,553662.06,840511.21,0.11,0.06,0.2,0.33,0.3
5,347580000.0,667560000.0,242898400.0,122300160.0,456618000.0,623495.44,1197481.48,435715.64,219384.29,819089.82,0.39,0.12,0.22,0.12,0.15
6,253206057.0,610390667.0,89425467.0,459467754.0,359566400.0,621944.53,1499289.32,219653.83,1128580.65,883195.13,0.26,0.06,0.11,0.24,0.32
7,678179200.0,106921842.0,440832884.0,932659000.0,266339145.0,1388033.32,218837.56,902255.23,1908878.61,545117.88,0.14,0.39,0.17,0.04,0.26
8,814034000.0,231028107.0,497452114.0,112644800.0,337880267.0,1000816.36,284038.15,611593.88,138491.46,415407.83,0.04,0.32,0.15,0.23,0.26
9,360915760.0,531233040.0,86136600.0,868043657.0,229257508.0,477130.42,702289.76,113872.53,1147553.19,303078.29,0.29,0.1,0.3,0.07,0.25
10,404460235.0,232889213.0,946161200.0,70325526.0,586890036.0,390251.19,224707.61,912921.72,67854.93,566272.07,0.16,0.3,0.02,0.41,0.11
11,182297600.0,318797133.0,107333333.0,249334024.0,396025300.0,432148.68,755729.98,254440.86,591063.02,938804.52,0.21,0.19,0.19,0.27,0.13
12,34270489.0,274975333.0,559408000.0,152668160.0,421107400.0,75868.34,608743.07,1238422.88,337978.26,932251.67,0.35,0.23,0.08,0.19,0.15
13,376372560.0,69755587.0,205495733.0,810864000.0,559370000.0,634638.83,117621.76,346506.59,1367277.63,943208.84,0.16,0.48,0.28,0.02,0.06
14,43573000.0,282851429.0,204432533.0,413225333.0,108914700.0,84747.64,550134.06,397612.63,803705.79,211834.48,0.12,0.21,0.35,0.09,0.24
15,205029527.0,144452760.0,404453400.0,279585086.0,81774453.0,296624.08,208985.34,585138.24,404486.46,118306.24,0.17,0.31,0.06,0.22,0.23
16,45111561.0,288513800.0,822281600.0,421679314.0,169530000.0,83660.77,535057.68,1524946.4,782017.2,314398.58,0.44,0.22,0.01,0.1,0.22
17,118349080.0,506833200.0,318149280.0,37666885.0,208312533.0,143260.68,613517.81,385117.33,45595.48,252160.77,0.23,0.07,0.12,0.38,0.21
18,124304971.0,212351782.0,52292560.0,414281600.0,305456889.0,160787.7,274675.7,67640.1,535870.65,395106.57,0.25,0.2,0.36,0.04,0.16
19,32795022.0,296763314.0,183644978.0,444876000.0,99209292.0,36697.02,332072.59,205495.29,497807.92,111013.34,0.35,0.14,0.17,0.1,0.25
20,21488000.0,162401984.0,434714000.0,273189600.0,90272733.0,22444.82,169633.46,454071.05,285354.25,94292.42,0.26,0.31,0.02,0.1,0.3
21,190083300.0,29176416.0,125767446.0,315835600.0,77685548.0,206381.22,31678.03,136550.87,342915.65,84346.38,0.16,0.24,0.26,0.04,0.3
22,230258200.0,97348343.0,14163600.0,146891680.0,58450480.0,341893.15,144545.26,21030.47,218108.45,86788.74,0.1,0.33,0.1,0.24,0.24
23,59163927.0,227644800.0,157360400.0,107834960.0,26709500.0,133827.79,514928.63,355946.53,243920.83,60416.43,0.26,0.12,0.19,0.24,0.19
24,157163815.0,60166733.0,243772267.0,106294743.0,20420500.0,257459.89,98562.89,399338.62,174128.08,33452.1,0.26,0.24,0.06,0.28,0.16
25,55856693.0,241281920.0,112167273.0,157370933.0,17815733.0,133344.54,576003.06,267772.62,375685.58,42530.82,0.31,0.1,0.22,0.18,0.18
26,25399311.0,176624094.0,309999800.0,99816436.0,440631200.0,42851.4,297984.06,523003.39,168401.19,743392.78,0.52,0.25,0.06,0.16,0.01
27,19214800.0,306924640.0,103670857.0,54729236.0,161748267.0,23733.7,379106.52,128051.95,67600.34,199787.88,0.38,0.12,0.17,0.26,0.07
28,326996800.0,20135927.0,185700800.0,130474400.0,255858400.0,854714.83,52631.94,485390.77,341038.21,668770.98,0.06,0.69,0.06,0.06,0.12
29,36251319.0,209317333.0,82193853.0,126853840.0,259445867.0,44711.66,258167.85,101376.27,156459.02,319995.4,0.44,0.05,0.31,0.16,0.05
30,162295920.0,56098523.0,106452286.0,240748800.0,18438976.0,351335.5,121441.15,230446.13,521168.98,39916.39,0.15,0.19,0.21,0.08,0.37
31,173026200.0,48161700.0,15283300.0,130292400.0,82304900.0,299892.89,83474.94,26489.36,225825.71,142652.7,0.12,0.24,0.24,0.18,0.24
32,103771200.0,21192178.0,225256800.0,147910667.0,70580600.0,67148.01,13712.98,145758.6,95709.66,45671.12,0.26,0.39,0.04,0.13,0.17
33,53082831.0,504009600.0,107201029.0,21373920.0,168462000.0,119760.92,1137103.15,241857.75,48222.0,380069.49,0.39,0.03,0.21,0.3,0.06
34,100015153.0,24189108.0,211625280.0,61742800.0,407208000.0,169153.1,40910.43,357916.48,104424.04,688700.59,0.24,0.37,0.07,0.31,0.01
35,91114306.0,345456000.0,27005738.0,478280000.0,205996400.0,250389.7,949341.83,74214.02,1314353.24,566095.25,0.22,0.01,0.68,0.04,0.05
36,24587579.0,129387147.0,247932000.0,398400800.0,67564600.0,31786.2,167268.43,320520.21,515042.47,87345.8,0.52,0.2,0.04,0.01,0.22
37,68216612.0,217599520.0,17312447.0,135357013.0,364467200.0,88212.66,281383.54,22387.17,175033.64,471301.92,0.21,0.06,0.53,0.18,0.01
38,11918074.0,186949920.0,101770286.0,416107200.0,58729309.0,13471.01,211309.7,115031.07,470326.43,66381.8,0.39,0.07,0.2,0.01,0.32
39,50668571.0,128118880.0,13449857.0,203618133.0,96987280.0,59766.88,151124.57,15864.98,240180.87,114402.82,0.22,0.15,0.43,0.05,0.15
40,84451077.0,38645415.0,158832711.0,295358800.0,13980831.0,146504.54,67041.52,275540.75,512384.29,24253.75,0.17,0.34,0.12,0.03,0.34
