Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Month 1,1,2604.0,1736
Month 2,2,7714.4,5144
Month 3,2,8728.8,5821
Month 4,1,4684.8,3124
Month 5,1,13344.0,8899
Month 6,2,25018.4,16686
Month 7,3,26031.2,17360
Month 8,1,5930.4,3955
Month 9,1,12825.6,8554
Month 10,2,20756.0,13842
Month 11,3,11976.8,7987
Month 12,2,12036.8,8027
Month 13,2,18034.4,12027
Month 14,5,59655.2,39785
Month 15,14,147992.8,98698
Month 16,8,107624.0,71776
Month 17,2,6553.6,4370
Month 18,4,47589.6,31738
Month 19,7,77430.4,51638
Month 20,7,101316.8,67570
Month 21,1,8172.8,5450
Month 22,2,18249.6,12170
Month 23,9,136737.6,91194
Month 24,15,272588.0,181795
Month 25,10,218684.8,145847
