Arrival Date,Shipments,"Weight (kg, 0.8 Markdown)",Quantity of Synthetic Product
Week 1,2,45784.0,109298
Week 2,4,87632.8,209201
Week 3,2,23316.0,55661
Week 4,2,35867.2,85624
Week 5,5,79191.2,189047
Week 6,1,18344.0,43791
Week 7,3,58901.6,140612
Week 8,2,35028.0,83620
Week 9,1,28448.0,67912
Week 10,1,12152.8,29011
Week 11,3,31700.8,75677
Week 12,2,22454.4,53604
Week 13,2,22885.6,54633
Week 14,3,23872.0,56987
Week 15,3,38781.6,92580
Week 16,3,58278.4,139124
Week 17,2,27945.6,66712
Week 18,2,28532.8,68114
Week 19,5,89684.8,214099
Week 20,5,66868.8,159631
Week 21,1,26621.6,63552
Week 22,2,35505.6,84760
Week 23,3,44097.6,105271
Week 24,3,41911.2,100051
Week 25,5,59332.8,141640
Week 26,5,55926.4,133509
Week 27,2,28539.2,68129
Week 28,2,34174.4,81582
Week 29,1,13026.4,31097
Week 30,2,11963.2,28558
Week 31,1,6048.0,14438
Week 32,1,12628.8,30148
Week 33,2,22233.6,53077
Week 34,1,20061.6,47892
Week 35,4,51285.6,122430
Week 36,2,25862.4,61739
Week 37,2,18199.2,43445
Week 38,4,65262.4,155797
Week 39,1,5438.4,12982
Week 40,2,38106.4,90969
Week 41,2,13746.4,32815
Week 42,3,33433.6,79813
Week 43,1,6840.0,16328
Week 44,3,20674.4,49354
Week 45,1,13586.4,32434
Week 46,1,6567.2,15677
Week 47,1,6728.0,16061
Week 48,1,6161.6,14709
Week 49,1,17448.8,41654
Week 50,2,11882.4,28365
Week 51,1,5855.2,13977
Week 52,1,17117.6,40864
Week 53,1,16348.0,39026
Week 54,2,19503.2,46559
Week 55,2,21561.6,51472
Week 56,3,39076.0,93282
Week 57,3,60088.0,143445
Week 58,3,63727.2,152132
Week 59,2,35446.4,84619
Week 60,1,10448.8,24944
Week 61,3,52303.2,124860
Week 62,3,28410.4,67821
Week 63,3,63466.4,151509
Week 64,2,20810.4,49679
Week 65,6,55094.4,131522
Week 66,2,31597.6,75431
Week 67,1,21399.2,51085
Week 68,1,10407.2,24844
Week 69,2,16095.2,38422
Week 70,4,52018.4,124180
Week 71,2,25169.6,60085
Week 72,6,67726.4,161677
Week 73,4,49973.6,119298
Week 74,3,25826.4,61653
Week 75,1,6112.0,14590
Week 76,4,59772.0,142690
Week 77,4,32248.8,76985
Week 78,3,34838.4,83168
Week 79,2,21411.2,51113
Week 80,1,10556.0,25199
Week 81,1,16212.8,38704
Week 82,3,22085.6,52722
Week 83,3,26049.6,62186
Week 84,2,34920.8,83364
Week 85,1,15977.6,38142
Week 86,7,107335.2,256234
Week 87,2,29454.4,70314
Week 88,5,71701.6,171168
Week 89,1,4936.0,11783
Week 90,2,23586.4,56306
Week 91,3,26049.6,62186
Week 92,4,96747.2,230959
Week 93,3,35522.4,84800
Week 94,3,36228.8,86486
Week 95,2,31821.6,75966
Week 96,3,42738.4,102026
Week 97,1,16428.8,39219
Week 98,3,38114.4,90988
Week 99,3,41756.0,99680
Week 100,3,46958.4,112101
Week 101,2,20915.2,49929
Week 102,3,25087.2,59889
Week 103,2,22461.6,53620
Week 104,6,79237.6,189159
Week 105,2,16297.6,38906
Week 106,1,10273.6,24525
Week 107,1,10273.6,24525
Week 108,1,16313.6,38944
Week 109,3,65877.6,157265
Week 110,2,81540.0,194657
Week 111,2,41092.0,98096
Week 112,2,66647.2,159103
Week 113,3,40623.2,96976
Week 114,1,8232.8,19653
Week 115,3,49666.4,118565
Week 116,5,91907.2,219404
Week 117,3,49489.6,118143
Week 118,2,42507.2,101475
Week 119,3,58607.2,139908
Week 120,2,49427.2,117994
Week 121,4,73308.8,175006
Week 122,1,17668.0,42178
Week 123,3,43118.4,102933
Week 124,1,8726.4,20832
Week 125,3,33816.0,80726
Week 126,3,31714.4,75710
Week 127,2,16764.0,40019
Week 128,1,5900.0,14084
Week 129,2,14039.2,33515
Week 130,1,5932.8,14163
Week 131,2,11936.8,28495
Week 132,3,38944.0,92968
Week 133,1,5230.4,12486
Week 134,1,24748.8,59081
Week 135,1,4672.8,11155
Week 136,1,4814.4,11493
Week 137,1,5832.8,13924
Week 138,1,5428.0,12958
Week 139,1,4540.0,10838
Week 140,1,23488.0,56071
Week 141,1,4672.8,11155
Week 142,1,6180.0,14753
Week 143,1,5944.0,14189
Week 144,1,17689.6,42229
Week 145,1,16828.0,40172
Week 146,1,15816.0,37756
Week 147,1,11127.2,26563
Week 148,1,16841.6,40205
Week 149,1,18369.6,43853
Week 150,1,24244.8,57878
Week 151,2,48185.6,115030
Week 152,4,101921.6,243312
Week 153,2,11859.2,28310
